124	243477
124	302516
124	318491
124	320027
124	366784
176	131232
176	132531
176	132725
176	201855
176	321841
176	347858
176	533157
411	25558
411	111832
411	172588
411	172609
411	536250
411	536254
422	170849
422	451122
422	535138
443	30669
443	128705
443	139954
443	185636
443	216567
448	28123
448	52713
448	55701
448	56684
448	75848
448	80796
448	104366
448	114138
448	131874
448	154321
448	158327
448	203546
448	260305
448	334420
448	334588
448	338300
448	362528
448	366149
448	389968
448	396362
448	410087
448	455467
448	471848
448	475036
448	519832
448	520877
448	525658
521	127332
521	169697
521	173687
521	174097
521	233313
521	235362
521	281396
521	289195
521	356349
521	404185
688	19252
688	170410
688	203632
688	217427
688	306218
842	93615
842	93617
842	167799
842	502776
852	70350
852	218600
852	449645
852	473660
852	517958
873	74023
873	183871
873	247194
873	255355
873	366253
873	466634
951	200511
951	414227
951	414228
1015	231400
1015	466135
1164	52705
1164	123137
1164	232111
1164	413736
1164	517097
1282	9834
1500	31980
1500	130542
1500	180569
1500	331200
1500	524027
1547	45292
1547	45295
1547	53978
1547	60658
1547	103117
1547	103118
1547	103120
1547	120328
1547	351390
1547	484333
1547	504033
1547	536934
1585	148532
1585	300111
1585	335171
1585	481957
1602	330542
1602	382058
1602	417272
1602	425507
1637	1640
1637	261662
1637	544403
1637	546961
1637	546964
1639	229515
1639	547527
1639	548255
1640	261662
1640	544403
1640	546961
1640	546964
1641	96981
1641	270541
1776	159988
1776	194944
1776	321831
1776	371067
1776	399039
1776	446503
1776	518125
1776	518984
1776	533437
1806	35472
1806	49243
1806	49268
1806	158841
1806	164686
1806	321497
1806	376498
1806	393054
1806	528993
1820	135942
1820	160700
1820	167642
1820	185834
1820	206265
1820	233088
1820	394137
1820	516947
1820	537745
2117	28123
2117	75848
2117	104366
2117	158327
2117	168181
2117	467401
2137	31014
2137	78589
2137	94796
2137	147315
2223	114393
2223	139407
2223	261397
2223	264686
2223	289508
2223	328671
2223	424392
2223	479184
2223	497568
2223	527734
2223	530164
2230	17348
2230	76246
2230	312849
2246	40924
2246	222688
2246	243994
2246	276364
2246	287458
2246	488231
2348	20561
2348	372301
2348	404585
2348	445171
2411	101280
2411	163311
2411	351827
2411	396936
2411	471620
2411	489239
2411	539353
2411	539578
2503	92800
2503	386343
2503	510772
2556	513011
2613	307273
2613	409740
2625	71292
2625	164151
2625	168608
2625	395771
2625	419830
2625	433665
2625	467711
2721	189129
2721	211198
2721	211918
2721	236093
2721	452472
2770	20183
2770	20185
2770	20186
2770	119246
2770	262820
2797	15952
2797	129002
2797	140476
2797	348877
2797	412353
2797	463702
2797	472962
2797	480884
2797	497828
2797	499649
2797	501124
2849	71772
2849	325027
2849	362720
2849	527901
2876	26658
2876	213842
2876	262923
2876	300628
2876	412703
2894	122664
2894	137545
2894	148848
2917	150211
2935	37312
2935	76588
2935	136512
2935	159870
2935	175417
2935	185930
2935	197590
2935	216822
2935	219109
2935	243758
2935	246509
2935	314903
2935	329234
2935	375325
2935	418746
2935	498635
2935	532895
3069	81664
3069	197416
3069	203243
3069	333710
3069	459575
3069	468467
3069	492665
3069	540757
3085	250399
3085	276688
3085	348709
3085	512927
3114	150549
3114	169366
3114	194423
3114	216586
3114	221763
3114	479189
3120	101939
3120	246768
3120	276847
3120	362551
3120	436450
3123	132830
3123	143495
3123	201249
3123	411093
3123	420629
3123	485258
3210	75287
3210	149495
3210	383250
3236	62953
3236	396806
3236	457678
3236	474918
3236	505305
3375	40008
3375	105719
3375	207491
3375	253222
3375	349314
3375	468369
3375	475012
3375	492944
3456	77482
3456	178222
3456	238357
3456	311109
3456	378470
3456	396413
3456	404545
3460	71772
3460	325027
3460	362720
3460	527901
3542	67627
3542	267766
3542	327394
3542	382101
3542	509123
3679	94083
3679	332872
3679	403965
3679	450297
3679	478362
3687	124215
3687	507862
3687	521815
3833	33812
3833	73400
